list-none-m,4,1000,16,12000,4318833,359,320
list-none-m,8,1000,1,24000,485653129,20235,135906
list-none-m,8,1000,4,24000,62517951,2604,13195
list-none-m,8,1000,8,24000,25300236,1054,3999
list-none-m,8,1000,16,24000,11547713,481,1305
list-none-m,12,1000,1,36000,1086919600,30192,302639
list-none-m,12,1000,4,36000,128284271,3563,31237
list-none-m,12,1000,8,36000,48407368,1344,9302
list-none-m,12,1000,16,36000,21153156,587,2834
list-none-m,16,1000,1,48000,1953970720,40707,549950
list-none-m,16,1000,4,48000,226087222,4710,59493
list-none-m,16,1000,8,48000,81459250,1697,17488
list-none-m,16,1000,16,48000,31788856,662,4992
